Full Name,Full Address,TFN Number,Date of Birth,Email Address,Mobile Number
Johnny Doe,31 Truscott Cres Exmouth WA 6707 AU,123456789,16/03/2017,jane@gmail.com,0412 342 678
Groot Bob,33 Truscott Cres Exmouth WA 6707 AU,234567890,11/03/1991,billy@gmail.com,0412 343 678
Amy Pond,Exmouth Post Office Exmouth WA 6707 AU,567890123,4/11/1995,amy@bbc.co,0412 344 678
Thanos Villain,PO Box 221 Exmouth WA 6707 AU,678901234,10/11/1983,tony@stark.com,0412 345 678
Jane Doe,31 Truscott Cres Exmouth WA 6707 AU,123456789,16/3/2017,jane@gmail.com,0475 506 352
Billy Bob,33 Truscott Cres Exmouth WA 6707 AU,234567890,11/3/1991,billy@gmail.com,0416 953 399
Jo Smith,15 Murat Road Exmouth WA 6707 AU,345678901,21/9/1987,jo@gmail.com,0436 352 911
Shelly Cooper,56 Stewart Street Exmouth WA 6707 AU,456789012,16/5/1997,shelly@gmail.com,0475 382 696
Amy Pond,Exmouth Post Office Exmouth WA 6707 AU,567890123,4/11/1995,amy@bbc.co,0476 231 123
Tony Stark,PO Box 221 Exmouth WA 6707 AU,678901234,10/11/1983,tony@stark.com,0403 512 441
Pepper Potts,39 Ingleton Street Exmouth WA 6707 AU,789012345,15/11/1992,pepper@stark.com,0411 341 313
Rory Pond,PO Box 34 ERINA NSW 2250,456789231
Pepper Pots,1 Marvel Way BEACH NSW 2257,345678901
Amy Pond,PO Box 34 ERINA NSW 2250,123456789
Tony Stark,Tarfalgar Avenue UMINA BEACH NSW 2257,234567890
